skill_name,difficulty,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,marks,is_active
Machine Learning,Easy,What is Machine Learning?,A way to manually program every rule,A field where computers learn from data,A database,A programming language,B,ML enables systems to learn patterns from data.,1,True
Machine Learning,Easy,Which type of ML uses labeled data?,Unsupervised,Reinforcement,Supervised,Semi-random,C,Supervised learning uses labeled data.,1,True
Machine Learning,Easy,Which type of ML finds hidden patterns?,Supervised,Unsupervised,Regression,Classification,B,Unsupervised learning discovers structure.,1,True
Machine Learning,Easy,Which algorithm predicts continuous values?,KNN,Linear Regression,K-Means,Naive Bayes,B,Linear Regression predicts numeric values.,1,True
Machine Learning,Easy,Which algorithm predicts categories?,Linear Regression,Classification,Clustering,PCA,B,Classification predicts classes.,1,True
Machine Learning,Easy,What is a dataset?,Programming language,Collection of data,Model,Database server,B,A dataset is a collection of records.,1,True
Machine Learning,Easy,What is a feature?,Target variable,Input variable,Algorithm,Metric,B,Features are model inputs.,1,True
Machine Learning,Easy,What is the target variable?,Input,Output to predict,Feature,Bias,B,Target is the output.,1,True
Machine Learning,Easy,Which library is widely used for ML in Python?,NumPy,scikit-learn,Tkinter,Flask,B,scikit-learn provides ML algorithms.,1,True
Machine Learning,Easy,What is overfitting?,Model performs well only on training data,Model never learns,Too little data,Database error,A,Overfitting reduces generalization.,1,True
Machine Learning,Easy,What is underfitting?,Model too simple,Model too complex,Model optimized,Model deployed,A,Underfitting fails to learn patterns.,1,True
Machine Learning,Easy,Why split train and test data?,Increase rows,Evaluate generalization,Reduce memory,Sort data,B,Testing estimates unseen performance.,1,True
Machine Learning,Easy,Which metric measures classification accuracy?,RMSE,Accuracy,MAE,R2,B,Accuracy is common for classification.,1,True
Machine Learning,Easy,Which metric measures regression error?,Accuracy,Precision,MAE,Recall,C,MAE measures average absolute error.,1,True
Machine Learning,Easy,What is a model?,A trained algorithm,A database,A CSV file,A chart,A,A model learns from data.,1,True
Machine Learning,Easy,Which algorithm groups similar data?,K-Means,Decision Tree,Logistic Regression,SVM,A,K-Means performs clustering.,1,True
Machine Learning,Easy,What is prediction?,Training,Output from a trained model,Cleaning data,Visualization,B,Prediction is model inference.,1,True
Machine Learning,Easy,Which step comes before training?,Deployment,Data preprocessing,Monitoring,Prediction,B,Clean data first.,1,True
Machine Learning,Easy,What is missing data?,Duplicate rows,Unavailable values,Extra columns,Images,B,Missing values need handling.,1,True
Machine Learning,Easy,Which library is used for data manipulation?,TensorFlow,Pandas,Flask,Requests,B,Pandas manipulates data.,1,True
Machine Learning,Easy,What does CSV stand for?,Common System Values,Comma Separated Values,Computer Saved Values,Central Storage Values,B,CSV stores tabular data.,1,True
Machine Learning,Easy,Which plot shows relationships between variables?,Scatter,Pie,Bar,Histogram,A,Scatter plots compare variables.,1,True
Machine Learning,Easy,What is normalization?,Scaling values,Deleting rows,Training,Testing,A,Normalization rescales features.,1,True
Machine Learning,Easy,What is the purpose of model evaluation?,Delete data,Measure performance,Increase rows,Import files,B,Evaluation measures quality.,1,True
Machine Learning,Easy,Which algorithm is a decision-based classifier?,Decision Tree,K-Means,PCA,Apriori,A,Decision trees split data.,1,True
Machine Learning,Easy,What is a label?,Target value,Feature,Chart,Index,A,Labels are target outputs.,1,True
Machine Learning,Easy,Which learning type uses rewards?,Supervised,Reinforcement,Unsupervised,Batch,B,RL learns via rewards.,1,True
Machine Learning,Easy,What is classification?,Grouping unlabeled data,Predicting categories,Predicting prices,Reducing dimensions,B,Classification predicts classes.,1,True
Machine Learning,Easy,Which algorithm is distance-based?,KNN,Naive Bayes,Decision Tree,Linear Regression,A,KNN uses nearest neighbors.,1,True
Machine Learning,Easy,Why preprocess data?,Improve model quality,Reduce CPU only,Increase bugs,Skip training,A,Good preprocessing improves results.,1,True
Machine Learning,Medium,What is cross-validation?,Multiple test datasets,Repeated train/validation splits,Feature scaling,Model deployment,B,Cross-validation estimates robustness.,1,True
Machine Learning,Medium,Why use feature scaling?,Reduce rows,Help distance-based algorithms,Increase labels,Remove nulls,B,Scaling improves algorithms like KNN.,1,True
Machine Learning,Medium,Which algorithm uses entropy or Gini?,Decision Tree,Linear Regression,K-Means,PCA,A,Trees split using impurity measures.,1,True
Machine Learning,Medium,What is precision?,Correct positives among predicted positives,Overall accuracy,Correct negatives,Training score,A,Precision focuses on predicted positives.,1,True
Machine Learning,Medium,What is recall?,Correct positives among actual positives,Accuracy,MAE,R2,A,Recall measures sensitivity.,1,True
