skill_name,difficulty,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,marks,is_active
Git,Easy,What is Git?,Database,Version Control System,IDE,OS,B,Git tracks code changes.,1,True
Git,Easy,Who created Git?,James Gosling,Linus Torvalds,Guido van Rossum,Dennis Ritchie,B,Linus created Git.,1,True
Git,Easy,Which command initializes a repository?,git start,git init,git create,git new,B,git init creates a repository.,1,True
Git,Easy,Which command checks repository status?,git log,git status,git info,git state,B,git status shows changes.,1,True
Git,Easy,Which command stages files?,git add,git stage,git push,git commit,A,git add stages files.,1,True
Git,Easy,Which command saves staged changes?,git save,git commit,git upload,git merge,B,git commit creates a snapshot.,1,True
Git,Easy,Which command uploads commits?,git clone,git pull,git push,git fetch,C,git push uploads changes.,1,True
Git,Easy,Which command downloads a repository?,git clone,git copy,git pull,git fork,A,git clone copies a repository.,1,True
Git,Easy,Which command downloads latest changes?,git pull,git add,git init,git branch,A,git pull fetches and merges.,1,True
Git,Easy,Which command shows commit history?,git history,git log,git showall,git commits,B,git log lists commits.,1,True
Git,Easy,Which file ignores tracked files?,ignore.txt,.gitignore,.ignore,git.txt,B,.gitignore excludes files.,1,True
Git,Easy,Which branch is default commonly?,dev,master/main,test,release,B,Modern Git commonly uses main.,1,True
Git,Easy,Which command creates a branch?,git branch,git new,git checkout,git merge,A,git branch creates branches.,1,True
Git,Easy,Which command switches branches?,git switch,git checkout,Both,git move,C,checkout and switch can change branches.,1,True
Git,Easy,Which command merges branches?,git join,git merge,git combine,git sync,B,git merge combines history.,1,True
Git,Easy,Git primarily tracks?,Folders,File changes,Databases,Servers,B,Git tracks file revisions.,1,True
Git,Easy,Repository means?,Collection of Git history,Database,Folder only,Compiler,A,Repository stores project history.,1,True
Git,Easy,Commit is?,Saved snapshot,Upload,Download,Branch,A,Commit records changes.,1,True
Git,Easy,Remote repository is?,Online/shared repo,Local folder,IDE,Compiler,A,Remote hosts shared code.,1,True
Git,Easy,Which platform hosts Git repositories?,GitHub,Excel,Photoshop,Chrome,A,GitHub hosts Git repos.,1,True
Git,Easy,Which command shows configured remotes?,git remote -v,git remotes,git host,git list,A,Displays remotes.,1,True
Git,Easy,HEAD points to?,Current commit,First commit,Remote,Tag,A,HEAD references current commit.,1,True
Git,Easy,Which command removes staged file?,git reset,git remove,git undo,git delete,A,git reset unstages.,1,True
Git,Easy,Git is?,Distributed,Centralized only,Cloud only,Local only,A,Git is distributed.,1,True
Git,Easy,Which command creates a tag?,git tag,git mark,git label,git save,A,Tags mark releases.,1,True
Git,Easy,Branch helps?,Parallel development,Delete files,Increase RAM,Compile,A,Branches isolate work.,1,True
Git,Easy,Working directory contains?,Current files,History only,Remote,Tags,A,Files being edited.,1,True
Git,Easy,Staging area is?,Area before commit,Remote,Branch,History,A,Index before commit.,1,True
Git,Easy,Git can track binary files?,Yes,No,Only images,Only text,A,Though not always ideal.,1,True
Git,Easy,Commit messages should be?,Clear and descriptive,Random,Empty,Very long always,A,Good messages aid history.,1,True
Git,Medium,Difference between fetch and pull?,Pull fetches+merges,Same,Fetch uploads,Pull deletes,A,Pull includes merge.,1,True
Git,Medium,Which command shows branch list?,git branches,git branch,git list,git show,B,Lists branches.,1,True
