skill_name,difficulty,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,marks,is_active
SQL,Easy,What does SQL stand for?,Structured Query Language,Simple Query Language,System Query Language,Standard Question Language,A,SQL stands for Structured Query Language.,1,True
SQL,Easy,Which SQL command retrieves data?,GET,SELECT,FETCH,SHOW,B,SELECT retrieves rows.,1,True
SQL,Easy,Which clause filters rows?,ORDER BY,GROUP BY,WHERE,HAVING,C,WHERE filters rows.,1,True
SQL,Easy,Which command inserts data?,ADD,INSERT,APPEND,CREATE,B,INSERT adds rows.,1,True
SQL,Easy,Which command updates data?,MODIFY,CHANGE,UPDATE,ALTER,C,UPDATE changes existing rows.,1,True
SQL,Easy,Which command deletes rows?,REMOVE,DELETE,DROP,CLEAR,B,DELETE removes rows.,1,True
SQL,Easy,Which command creates a table?,NEW,CREATE,BUILD,TABLE,B,CREATE TABLE creates tables.,1,True
SQL,Easy,Which command removes a table?,DELETE,DROP,REMOVE,TRUNCATE,B,DROP removes the table.,1,True
SQL,Easy,Primary key values must be?,Duplicate,NULL,Unique,Negative,C,Primary keys uniquely identify rows.,1,True
SQL,Easy,Which keyword sorts results?,SORT,ORDER BY,GROUP BY,HAVING,B,ORDER BY sorts results.,1,True
SQL,Easy,Which function counts rows?,SUM(),COUNT(),TOTAL(),ROWS(),B,COUNT counts rows.,1,True
SQL,Easy,Which function returns maximum value?,TOP(),MAX(),HIGH(),UPPER(),B,MAX returns largest value.,1,True
SQL,Easy,Which function returns minimum value?,LOW(),MIN(),BOTTOM(),FIRST(),B,MIN returns smallest.,1,True
SQL,Easy,Which function calculates average?,MEAN(),AVG(),AVERAGE(),MID(),B,AVG computes average.,1,True
SQL,Easy,Which operator matches patterns?,LIKE,IN,BETWEEN,IS,A,LIKE supports wildcards.,1,True
SQL,Easy,Wildcard for multiple characters?,?,*,%,_,C,% matches many characters.,1,True
SQL,Easy,Wildcard for one character?,_,%,?,*,A,_ matches one character.,1,True
SQL,Easy,Which clause groups rows?,ORDER BY,GROUP BY,WHERE,LIMIT,B,GROUP BY creates groups.,1,True
SQL,Easy,Which clause filters groups?,WHERE,HAVING,ORDER BY,LIMIT,B,HAVING filters grouped results.,1,True
SQL,Easy,NULL represents?,Zero,Blank string,Unknown value,False,C,NULL means unknown/missing.,1,True
SQL,Easy,Which command changes table structure?,UPDATE,ALTER,CHANGE,MODIFY,B,ALTER modifies schema.,1,True
SQL,Easy,Which keyword removes duplicate results?,UNIQUE,DISTINCT,ONLY,DIFFERENT,B,DISTINCT removes duplicates.,1,True
SQL,Easy,Which clause limits returned rows in PostgreSQL?,TOP,LIMIT,FIRST,FETCH,B,LIMIT restricts rows.,1,True
SQL,Easy,Which keyword combines conditions?,MERGE,AND,WITH,JOIN,B,AND combines conditions.,1,True
SQL,Easy,Which keyword means either condition?,OR,ANY,SOME,IN,A,OR requires one true.,1,True
SQL,Easy,Which operator checks NULL?,= NULL,IS NULL,NULL=,==NULL,B,IS NULL checks null.,1,True
SQL,Easy,Which command empties a table quickly?,DELETE,TRUNCATE,DROP,CLEAR,B,TRUNCATE removes all rows.,1,True
SQL,Easy,Which object stores rows and columns?,View,Table,Index,Schema,B,Tables store data.,1,True
SQL,Easy,Which command renames a table?,UPDATE,ALTER TABLE,RENAME ONLY,CHANGE,B,ALTER TABLE ... RENAME.,1,True
SQL,Easy,SQL is mainly used to?,Edit images,Manage databases,Compile code,Design UI,B,SQL manages relational databases.,1,True
SQL,Medium,Which JOIN returns matching rows only?,LEFT,RIGHT,INNER,FULL,C,INNER JOIN returns matches.,1,True
SQL,Medium,LEFT JOIN returns?,Only right rows,All left rows,Only matches,No rows,B,Includes unmatched left rows.,1,True
SQL,Medium,RIGHT JOIN returns?,All right rows,All left rows,Only matches,None,A,Includes unmatched right rows.,1,True
SQL,Medium,FULL OUTER JOIN returns?,Only matches,All rows from both tables,Left only,Right only,B,Returns all rows.,1,True
SQL,Medium,What does UNION do?,Duplicates,Combines unique results,Deletes rows,Joins tables,B,UNION removes duplicates.,1,True
SQL,Medium,UNION ALL?,Removes duplicates,Keeps duplicates,Sorts,Groups,B,UNION ALL retains duplicates.,1,True
