skill_name,difficulty,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,marks,is_active
Python,Easy,Which keyword is used to define a function in Python?,function,def,func,define,B,The def keyword is used to define a function.,1,True
Python,Easy,Which symbol is used to start a comment in Python?,//,/*,#,--,C,Comments begin with #.,1,True
Python,Easy,Which function displays output on the screen?,display(),show(),print(),echo(),C,print() displays output.,1,True
Python,Easy,Which function accepts user input?,read(),scan(),input(),get(),C,input() reads user input.,1,True
Python,Easy,Which data type stores whole numbers?,float,int,string,bool,B,int stores integers.,1,True
Python,Easy,Which data type stores decimal numbers?,char,float,dict,list,B,float stores decimals.,1,True
Python,Easy,Which data structure is enclosed in square brackets []?,Tuple,Dictionary,List,Set,C,Lists use square brackets.,1,True
Python,Easy,Which data structure is enclosed in parentheses ()?,Dictionary,Tuple,List,Set,B,Tuples use parentheses.,1,True
Python,Easy,Which data structure stores key-value pairs?,Tuple,List,Dictionary,String,C,Dictionaries store key-value pairs.,1,True
Python,Easy,Which operator is used for multiplication?,+,*,/,%,B,* performs multiplication.,1,True
Python,Easy,Which operator checks equality?,=,==,!=,>=,B,== compares values.,1,True
Python,Easy,Which keyword is used for conditional statements?,loop,if,case,switch,B,if is used for decisions.,1,True
Python,Easy,Which loop is used to iterate over a sequence?,repeat,while,for,loop,C,for iterates over sequences.,1,True
Python,Easy,Which keyword exits a loop immediately?,stop,continue,break,exit,C,break exits a loop.,1,True
Python,Easy,Which keyword skips the current iteration?,skip,continue,pass,break,B,continue skips current iteration.,1,True
Python,Easy,Which keyword defines a class?,object,class,define,new,B,class defines a class.,1,True
Python,Easy,Which value represents Boolean true?,TRUE,true,True,1,C,Python uses True.,1,True
Python,Easy,Which value represents Boolean false?,FALSE,False,false,0,B,Python uses False.,1,True
Python,Easy,Which function returns the length of a list?,count(),length(),len(),size(),C,len() returns length.,1,True
Python,Easy,Which function returns the type of a variable?,typeof(),class(),type(),datatype(),C,type() returns type.,1,True
Python,Easy,Which keyword is used to import a module?,include,using,import,require,C,import loads modules.,1,True
Python,Easy,Which module provides mathematical functions?,math,calc,number,statistics,A,math module provides mathematical functions.,1,True
Python,Easy,Which function converts a string to an integer?,str(),int(),float(),bool(),B,int() converts strings to integers.,1,True
Python,Easy,Which function converts an integer to a string?,str(),int(),char(),string(),A,str() converts to string.,1,True
Python,Easy,Which keyword creates an anonymous function?,func,lambda,anonymous,def,B,lambda creates anonymous functions.,1,True
Python,Easy,Which collection does not allow duplicate values?,List,Tuple,Dictionary,Set,D,Sets remove duplicates.,1,True
Python,Easy,Which method adds an item to the end of a list?,insert(),append(),add(),extend(),B,append() adds an item.,1,True
Python,Easy,Which method removes the last item from a list?,delete(),remove(),pop(),clear(),C,pop() removes the last item.,1,True
Python,Easy,Which keyword is used to handle exceptions?,catch,error,try,handle,C,try begins exception handling.,1,True
Python,Easy,Python is primarily which type of programming language?,Compiled only,Interpreted,Assembly,Machine,B,Python is generally interpreted.,1,True
Python,Medium,What is the output of print([x*x for x in range(3)])?,"[1,4,9]","[0,1,4]","[0,1,2]",Error,B,"Squares 0,1,2.",1,True
Python,Medium,Which keyword is used to handle exceptions in Python?,catch,except,error,finally,B,except catches exceptions.,1,True
Python,Medium,Which statement is true about tuples?,Mutable,Immutable,Can only store integers,Cannot contain duplicates,B,Tuples are immutable.,1,True
Python,Medium,What is the output of len('AI Engineer')?,10,11,12,13,B,Length is 11.,1,True
Python,Medium,Which method removes leading and trailing spaces?,trim(),strip(),remove(),clean(),B,strip removes whitespace.,1,True
Python,Medium,Which function opens a file in Python?,file(),read(),open(),load(),C,open opens files.,1,True
Python,Medium,Which file mode opens a file for appending?,r,w,a,x,C,a appends.,1,True
Python,Medium,What is the purpose of the with statement?,Create loops,Manage files safely,Import modules,Handle lists,B,Automatically closes resources.,1,True
Python,Medium,Which keyword is used to define inheritance?,inherits,extends,class,Parent class in parentheses,D,Inheritance uses class Child(Parent).,1,True
Python,Medium,Which method is called automatically when an object is created?,start(),init(),__init__(),constructor(),C,__init__ initializes objects.,1,True
Python,Medium,What is encapsulation?,Combining classes,Hiding implementation details,Creating functions,Using loops,B,Encapsulation hides data.,1,True
Python,Medium,Which keyword creates an anonymous function?,anonymous,func,lambda,def,C,lambda creates anonymous functions.,1,True
Python,Medium,What does map() return in Python 3?,List,Tuple,Iterator,Dictionary,C,map returns an iterator.,1,True
Python,Medium,What does filter() do?,Sorts data,Filters elements based on a condition,Adds values,Deletes values,B,filter selects matching elements.,1,True
Python,Medium,Which module is commonly used to generate random numbers?,math,random,statistics,numpy,B,random module.,1,True
Python,Medium,Which module is used for regular expressions?,regex,re,match,string,B,re module.,1,True
Python,Medium,What is the output of bool([])?,True,False,None,Error,B,Empty list is False.,1,True
Python,Medium,Which method adds multiple items to a list?,append(),extend(),insert(),push(),B,extend adds multiple items.,1,True
Python,Medium,Which statement creates a dictionary?,[],(),{},<>,C,{} creates a dict.,1,True
Python,Medium,What is the output of type({})?,list,tuple,dict,set,C,{} is dict.,1,True
Python,Medium,Which keyword skips the current iteration?,break,continue,pass,return,B,continue skips.,1,True
Python,Medium,Which keyword acts as a placeholder?,break,continue,pass,skip,C,pass is placeholder.,1,True
Python,Medium,What is the output of 5//2?,2.5,3,2,2.0,C,Floor division.,1,True
Python,Medium,Which function sorts without modifying original?,sort(),sorted(),arrange(),order(),B,sorted returns new list.,1,True
Python,Medium,Which list method sorts the original list?,sorted(),sort(),order(),arrange(),B,sort modifies list.,1,True
Python,Medium,"What is list(range(2,6))?","[2,3,4,5]","[2,3,4,5,6]","[1,2,3,4,5]","[2,4,6]",A,range excludes stop.,1,True
Python,Medium,Which keyword imports selected functions?,include,using,from,require,C,from imports selected names.,1,True
Python,Medium,Which exception occurs when dividing by zero?,ArithmeticError,ZeroDivisionError,ValueError,TypeError,B,ZeroDivisionError.,1,True
Python,Medium,What is polymorphism?,Multiple inheritance only,"One interface, many implementations",Using loops,Using recursion,B,"Same interface, different behavior.",1,True
Python,Medium,Which OOP principle allows code reuse?,Encapsulation,Abstraction,Inheritance,Polymorphism,C,Inheritance enables reuse.,1,True
Python,Hard,What is the primary purpose of a Python decorator?,Create threads,Modify a function without changing its code,Handle exceptions,Create classes,B,Decorators extend behavior.,1,True
Python,Hard,Which symbol is commonly used to apply a decorator?,#,@,$,%,B,@ applies decorators.,1,True
Python,Hard,What does a generator function use to produce values?,return,yield,break,continue,B,yield produces values lazily.,1,True
Python,Hard,What is the main advantage of generators?,Faster compilation,Lower memory usage,Automatic multithreading,Code encryption,B,Lazy evaluation saves memory.,1,True
Python,Hard,Which built-in function returns an iterator?,next(),iter(),yield(),range(),B,iter creates an iterator.,1,True
Python,Hard,Which built-in function retrieves the next iterator value?,next(),iter(),yield(),advance(),A,next gets next value.,1,True
Python,Hard,Which statement about lists is true?,Lists are immutable,Lists are mutable,Lists cannot contain duplicates,Lists only store integers,B,Lists are mutable.,1,True
Python,Hard,What is the purpose of *args?,Store keyword arguments,Accept multiple positional arguments,Import modules,Create generators,B,*args accepts variable positional args.,1,True
Python,Hard,What is the purpose of **kwargs?,Accept keyword arguments,Accept positional arguments,Create dictionaries only,Create tuples only,A,**kwargs accepts keyword args.,1,True
Python,Hard,Which module is used for deep copies?,copy,deepcopy,clone,pickle,A,copy.deepcopy performs deep copies.,1,True
Python,Hard,Difference between shallow and deep copy?,No difference,Deep copy copies nested objects recursively,Shallow copies everything,Deep copy only works on lists,B,Deep copy duplicates nested objects.,1,True
Python,Hard,What does the GIL do?,Allows unlimited threads,Prevents multiple native threads executing Python bytecode simultaneously,Encrypts code,Improves DB performance,B,GIL limits concurrent bytecode execution.,1,True
Python,Hard,Which module is used for multiprocessing?,threading,multiprocessing,parallel,process,B,multiprocessing module.,1,True
Python,Hard,Which module provides thread support?,threading,threads,parallel,asyncio,A,threading module.,1,True
Python,Hard,When is multiprocessing preferred?,CPU-bound tasks,Simple calculations,File reading,Variable creation,A,Bypasses GIL.,1,True
Python,Hard,Which keyword defines an async function?,await,yield,async def,thread,C,async def defines coroutine.,1,True
Python,Hard,Which keyword waits for async task?,wait,pause,await,yield,C,await waits.,1,True
Python,Hard,Which module supports async programming?,threading,asyncio,multiprocessing,queue,B,asyncio module.,1,True
Python,Hard,Which special method is for developers?,__str__(),__repr__(),__init__(),__call__(),B,__repr__ is developer representation.,1,True
Python,Hard,Which special method initializes an object?,__new__(),__start__(),__init__(),__main__(),C,__init__ initializes.,1,True
Python,Hard,Which method creates object before init?,__init__(),__new__(),__create__(),__build__(),B,__new__ creates instance.,1,True
Python,Hard,What is a closure?,Nested function remembering enclosing variables,Loop inside function,Recursive function,Decorator,A,Closures retain enclosing scope.,1,True
Python,Hard,What is MRO?,Order of imports,Order Python searches parent classes,Loop order,Decorator order,B,Method Resolution Order.,1,True
Python,Hard,Which method displays MRO?,mro(),order(),parents(),inherit(),A,mro() returns resolution order.,1,True
Python,Hard,Which data structure has O(1) average lookup?,List,Tuple,Dictionary,String,C,Hash table.,1,True
Python,Hard,Which function checks all elements true?,any(),all(),bool(),filter(),B,all requires all truthy.,1,True
Python,Hard,Which function checks any element true?,all(),bool(),filter(),any(),D,any requires one truthy.,1,True
Python,Hard,Which module is used for serialization?,pickle,json,marshal,All of the above,D,All can serialize.,1,True
Python,Hard,Which statement about memory management is true?,Manual free,Automatic garbage collection,Never deletes objects,Always use del,B,Python has GC.,1,True
Python,Hard,Which describes dynamic typing?,Types fixed,Variables can reference different object types,Only integers,Must declare variables,B,Python is dynamically typed.,1,True
