skill_name,difficulty,question_text,option_a,option_b,option_c,option_d,correct_option,marks,is_active
Deep Learning,Easy,What is Deep Learning?,A database,A subset of Machine Learning,A programming language,An operating system,B,1,TRUE
Deep Learning,Easy,What is the basic building block of Deep Learning?,Decision Tree,Neural Network,K-Means,SVM,B,1,TRUE
Deep Learning,Easy,A neuron receives?,Only one input,Multiple inputs,No inputs,Only outputs,B,1,TRUE
Deep Learning,Easy,Which library is widely used for Deep Learning?,Flask,TensorFlow,Requests,BeautifulSoup,B,1,TRUE
Deep Learning,Easy,Which library was developed by Facebook?,PyTorch,NumPy,Pandas,OpenCV,A,1,TRUE
Deep Learning,Easy,Which function introduces non-linearity?,Optimizer,Activation Function,Loss Function,Epoch,B,1,TRUE
Deep Learning,Easy,Which activation function outputs values between 0 and 1?,ReLU,Sigmoid,Tanh,Softmax,B,1,TRUE
Deep Learning,Easy,Which activation function is commonly used in hidden layers?,ReLU,Linear,Softmax,Sigmoid,A,1,TRUE
Deep Learning,Easy,What is an epoch?,One forward pass,One complete pass through training data,A layer,A neuron,B,1,TRUE
Deep Learning,Easy,What is a batch?,Entire dataset,Subset of training data,A layer,Optimizer,B,1,TRUE
Deep Learning,Easy,What is the input layer?,Last layer,First layer receiving data,Hidden layer,Output layer,B,1,TRUE
Deep Learning,Easy,What is the output layer?,First layer,Middle layer,Final prediction layer,Activation layer,C,1,TRUE
Deep Learning,Easy,What is a hidden layer?,Layer between input and output,Input layer,Output layer,Loss layer,A,1,TRUE
Deep Learning,Easy,Which task is CNN mainly used for?,Image processing,Sorting,Databases,Networking,A,1,TRUE
Deep Learning,Easy,Which network is commonly used for sequential data?,CNN,RNN,Decision Tree,KNN,B,1,TRUE
Deep Learning,Easy,What does GPU stand for?,General Processing Unit,Graphics Processing Unit,Graph Processing Utility,Global Processor Unit,B,1,TRUE
Deep Learning,Easy,What is training?,Making predictions,Learning from data,Deploying model,Cleaning data,B,1,TRUE
Deep Learning,Easy,What is inference?,Training,Prediction using trained model,Scaling,Encoding,B,1,TRUE
Deep Learning,Easy,Which function measures prediction error?,Loss Function,Activation,Optimizer,Dropout,A,1,TRUE
Deep Learning,Easy,Which optimizer is widely used?,Adam,Bubble,Merge,DFS,A,1,TRUE
Deep Learning,Easy,What is overfitting?,Good generalization,Model memorizes training data,Too little training,Normalization,B,1,TRUE
Deep Learning,Easy,What is dropout used for?,Increase neurons,Reduce overfitting,Increase learning rate,Scale inputs,B,1,TRUE
Deep Learning,Easy,What is a label?,Input feature,Expected output,Optimizer,Epoch,B,1,TRUE
Deep Learning,Easy,Which activation outputs the highest probability class?,ReLU,Softmax,Sigmoid,Tanh,B,1,TRUE
Deep Learning,Easy,What is Tensor?,Database,Multi-dimensional array,Optimizer,Loss,B,1,TRUE
Deep Learning,Easy,Which device usually trains DL models faster?,CPU,GPU,Hard disk,RAM,B,1,TRUE
Deep Learning,Easy,What is image classification?,Detect objects,Assign an image to a class,Compress image,Resize image,B,1,TRUE
Deep Learning,Easy,What is binary classification?,Two classes,Three classes,Regression,Clustering,A,1,TRUE
